,phrases,label,emotion,book,person_1,person_2
18,"As each dwarf came up and looked at the fire, and the spilled  jugs, and the gnawed mutton, in surprise, pop! went a nasty smelly sack over his head, and he was  down. Soon Dwalin lay by Balin, and Fili and Kili together, and Dori and Nori and Ori all in a heap,  and Oin and Gloin and Bifur and Bofur and Bombur piled uncomfortably near the fire. “That’ll teach ’em,” said Tom; for Bifur and Bombur had given a lot of trouble, and fought like  mad, as dwarves will when cornered. Thorin came last — and he was not caught unawares.",NEGATIVE,anger,hobbit,Gloin,Thorin
19,"You  would have laughed (from a safe distance), if you had seen the dwarves sitting up in the trees with  their beards dangling down, like old gentlemen gone cracked and playing at being boys. Fili and Kili  were at the top of a tall larch like an enormous Christmas tree. Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs.",NEGATIVE,fear,hobbit,Gloin,Thorin
20,"“I shall,” said Thorin, “and you will come with me, and Fili and Balin. That’s as many as the boat  will hold at a time. After that Kili and Oin and Gloin and Dori; next Ori and Nori, Bifur and Bofur;  and last Dwalin and Bombur.”   “I’m always last and I don’t like it,” said Bombur. “It’s somebody else’s turn today.”   “You should not be so fat. As you are, you must be with the last and lightest boatload.",POSITIVE,joy,hobbit,Gloin,Thorin
21,"The fires leaped up in black smokes. Ashes and cinders were in the eyes of the dwarves, and the wood was filled again with their clamour  and their cries. Bilbo found himself running round and round (as he thought) and calling and calling: “Dori, Nori,  Ori, Oin, Gloin, Lili, Kili, Bombur, Bifur, Bofur, Dwalin, Balin, Thorin Oakenshield,” while people he  could not see or feel were doing the same all round him (with an occasional “Bilbo!” thrown in). But  the cries of the others got steadily further and fainter, and though after a while it seemed to him they  changed to yells and cries for help in the far distance, all noise at last died right away, and he was left     alone in complete silence and darkness. That was one of his most miserable moments.",NEGATIVE,sadness,hobbit,Gloin,Thorin
22,"To smell apples  everlastingly when you can scarcely move and are cold and sick with hunger is maddening. I could eat  anything in the wide world now, for hours on end — but not an apple!”   With the willing help of Fili and Kili, Thorin and Bilbo at last discovered the remainder of the  company and got them out. Poor fat Bombur was asleep or senseless; Dori, Nori, Ori, Oin and Gloin  were waterlogged and seemed only half alive; they all had to be carried one by one and laid helpless  on the shore. “Well! Here we are!” said Thorin.",NEGATIVE,sadness,hobbit,Gloin,Thorin
23,"“Sh! sh!” they hissed, when they heard his voice; and though that helped the hobbit to find out  where they were, it was some time before he could get anything else out of them. But in the end, when  Bilbo actually began to stamp on the floor, and screamed out “light!” at the top of his shrill voice,  Thorin gave way, and Oin and Gloin were sent back to their bundles at the top of the tunnel. After a while a twinkling gleam showed them returning, Oin with a small pine-torch alight in his  hand, and Gloin with a bundle of others under his arm. Quickly Bilbo trotted to the door and took the  torch; but he could not persuade the dwarves to light the others or to come and join him yet.",NEGATIVE,anger,hobbit,Gloin,Thorin
24,"“Come, one of you, get another light or two!” Thorin ordered. “It seems we have  got to go and help our burglar.”   “It is about our turn to help,” said Balin, “and I am quite willing to go. Anyway I expect it is safe  for the moment.”   Gloin lit several more torches, and then they all crept out, one by one, and went along the wall as  hurriedly as they could. It was not long before they met Bilbo himself coming back towards them. His  wits had quickly returned as soon as he saw the twinkle of their lights.",POSITIVE,joy,hobbit,Gloin,Thorin
25,"“That will be quite as much as I can manage,” said he. At last the time came for him to say good-bye to his friends. “Farewell, Balin!” he said; “and  farewell, Dwalin; and farewell Dori, Nori, Ori, Oin, Gloin, Bifur, Bofur, and Bombur! May your  beards never grow thin!” And turning towards the Mountain he added: “Farewell Thorin Oakenshield! And Fili and Kili!",POSITIVE,joy,hobbit,Gloin,Thorin
26,"You asked  me to find the fourteenth man for your expedition, and I chose Mr. Baggins. Just let any one say I  chose the wrong man or the wrong house, and you can stop at thirteen and have all the bad luck you  like, or go back to digging coal.”   He scowled so angrily at Gloin that the dwarf huddled back in his chair; and when Bilbo tried to  open his mouth to ask a question, he turned and frowned at him and stuck out his bushy eyebrows, till  Bilbo shut his mouth tight with a snap. “That’s right,” said Gandalf. “Let’s have no more argument.",NEGATIVE,anger,hobbit,Gloin,Bilbo
27,"He got into the river before they could  catch him; and before they could get him out again, Fili and Kili were nearly drowned, and all the  baggage that he carried was washed away off him. Of course it was mostly food, and there was mighty  little left for supper, and less for breakfast. There they all sat glum and wet and muttering, while Oin and Gloin went on trying to light the fire,  and quarrelling about it. Bilbo was sadly reflecting that adventures are not all pony-rides in May-  sunshine, when Balin, who was always their look-out man, said: “There’s a light over there!” There  was a hill some way off with trees on it, pretty thick in parts. Out of the dark mass of the trees they  could now see a light shining, a reddish comfortable-looking light, as it might be a fire or torches  twinkling.",NEGATIVE,anger,hobbit,Gloin,Bilbo
28,"The dwarves managed all the preparations. Bilbo was  too weak to help, and anyway he was not much good at skinning rabbits or cutting up meat, being used  to having it delivered by the butcher all ready to cook. Gandalf, too, was lying down after doing his  part in setting the fire going, since Oin and Gloin had lost their tinder-boxes. (Dwarves have never  taken to matches even yet.)   So ended the adventures of the Misty Mountains. Soon Bilbo’s stomach was feeling full and  comfortable again, and he felt he could sleep contentedly, though really he would have liked a loaf and  butter better than bits of meat toasted on sticks.",NEGATIVE,joy,hobbit,Gloin,Bilbo
29,"It is lying on the  boat; let’s hope the hook will catch.”   It did. The rope went taut, and Fili pulled in vain. Kili came to his help, and then Oin and Gloin. They tugged and tugged, and suddenly they all fell over on their backs. Bilbo was on the look out,     however, caught the rope, and with a piece of stick fended off the little black boat as it came rushing  across the stream.",NEGATIVE,sadness,hobbit,Gloin,Bilbo
30,"The fires leaped up in black smokes. Ashes and cinders were in the eyes of the dwarves, and the wood was filled again with their clamour  and their cries. Bilbo found himself running round and round (as he thought) and calling and calling: “Dori, Nori,  Ori, Oin, Gloin, Lili, Kili, Bombur, Bifur, Bofur, Dwalin, Balin, Thorin Oakenshield,” while people he  could not see or feel were doing the same all round him (with an occasional “Bilbo!” thrown in). But  the cries of the others got steadily further and fainter, and though after a while it seemed to him they  changed to yells and cries for help in the far distance, all noise at last died right away, and he was left     alone in complete silence and darkness. That was one of his most miserable moments.",NEGATIVE,sadness,hobbit,Gloin,Bilbo
31,"To smell apples  everlastingly when you can scarcely move and are cold and sick with hunger is maddening. I could eat  anything in the wide world now, for hours on end — but not an apple!”   With the willing help of Fili and Kili, Thorin and Bilbo at last discovered the remainder of the  company and got them out. Poor fat Bombur was asleep or senseless; Dori, Nori, Ori, Oin and Gloin  were waterlogged and seemed only half alive; they all had to be carried one by one and laid helpless  on the shore. “Well! Here we are!” said Thorin.",NEGATIVE,sadness,hobbit,Gloin,Bilbo
32,"“Now I wonder what on earth Smaug is playing at,” he said. “He is not at home today (or tonight,  or whatever it is), I do believe. If Oin and Gloin have not lost their tinder-boxes, perhaps we can make  a little light, and have a look round before the luck turns.”   “Light!” he cried. “Can anybody make a light?”    The dwarves, of course, were very alarmed when Bilbo fell forward down the step with a bump into  the hall, and they sat huddled just where he had left them at the end of the tunnel. “Sh!",NEGATIVE,fear,hobbit,Gloin,Bilbo
33,"“Sh! sh!” they hissed, when they heard his voice; and though that helped the hobbit to find out  where they were, it was some time before he could get anything else out of them. But in the end, when  Bilbo actually began to stamp on the floor, and screamed out “light!” at the top of his shrill voice,  Thorin gave way, and Oin and Gloin were sent back to their bundles at the top of the tunnel. After a while a twinkling gleam showed them returning, Oin with a small pine-torch alight in his  hand, and Gloin with a bundle of others under his arm. Quickly Bilbo trotted to the door and took the  torch; but he could not persuade the dwarves to light the others or to come and join him yet.",NEGATIVE,anger,hobbit,Gloin,Bilbo
34,"“Come, one of you, get another light or two!” Thorin ordered. “It seems we have  got to go and help our burglar.”   “It is about our turn to help,” said Balin, “and I am quite willing to go. Anyway I expect it is safe  for the moment.”   Gloin lit several more torches, and then they all crept out, one by one, and went along the wall as  hurriedly as they could. It was not long before they met Bilbo himself coming back towards them. His  wits had quickly returned as soon as he saw the twinkle of their lights.",POSITIVE,joy,hobbit,Gloin,Bilbo
35,"Fili and Kili had fallen defending him with shield  and body, for he was their mother’s elder brother. The others remained with Dain; for Dain dealt his  treasure well. There was, of course, no longer any question of dividing the hoard in such shares as had been  planned, to Balin and Dwalin, and Dori and Nori and Ori, and Oin and Gloin, and Bifur and Bofur and  Bombur — or to Bilbo. Yet a fourteenth share of all the silver and gold, wrought and unwrought, was  given up to Bard; for Dain said: “We will honour the agreement of the dead, and he has now the  Arkenstone in his keeping.”   Even a fourteenth share was wealth exceedingly great, greater than that of many mortal kings. From that treasure Bard sent much gold to the Master of Lake-town; and he rewarded his followers  and friends freely.",POSITIVE,joy,hobbit,Gloin,Bilbo
36,"He got into the river before they could  catch him; and before they could get him out again, Fili and Kili were nearly drowned, and all the  baggage that he carried was washed away off him. Of course it was mostly food, and there was mighty  little left for supper, and less for breakfast. There they all sat glum and wet and muttering, while Oin and Gloin went on trying to light the fire,  and quarrelling about it. Bilbo was sadly reflecting that adventures are not all pony-rides in May-  sunshine, when Balin, who was always their look-out man, said: “There’s a light over there!” There  was a hill some way off with trees on it, pretty thick in parts. Out of the dark mass of the trees they  could now see a light shining, a reddish comfortable-looking light, as it might be a fire or torches  twinkling.",NEGATIVE,anger,hobbit,Gloin,Balin
37,"As each dwarf came up and looked at the fire, and the spilled  jugs, and the gnawed mutton, in surprise, pop! went a nasty smelly sack over his head, and he was  down. Soon Dwalin lay by Balin, and Fili and Kili together, and Dori and Nori and Ori all in a heap,  and Oin and Gloin and Bifur and Bofur and Bombur piled uncomfortably near the fire. “That’ll teach ’em,” said Tom; for Bifur and Bombur had given a lot of trouble, and fought like  mad, as dwarves will when cornered. Thorin came last — and he was not caught unawares.",NEGATIVE,anger,hobbit,Gloin,Balin
38,"You  would have laughed (from a safe distance), if you had seen the dwarves sitting up in the trees with  their beards dangling down, like old gentlemen gone cracked and playing at being boys. Fili and Kili  were at the top of a tall larch like an enormous Christmas tree. Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs.",NEGATIVE,fear,hobbit,Gloin,Balin
39,"“I shall,” said Thorin, “and you will come with me, and Fili and Balin. That’s as many as the boat  will hold at a time. After that Kili and Oin and Gloin and Dori; next Ori and Nori, Bifur and Bofur;  and last Dwalin and Bombur.”   “I’m always last and I don’t like it,” said Bombur. “It’s somebody else’s turn today.”   “You should not be so fat. As you are, you must be with the last and lightest boatload.",POSITIVE,joy,hobbit,Gloin,Balin
40,"The fires leaped up in black smokes. Ashes and cinders were in the eyes of the dwarves, and the wood was filled again with their clamour  and their cries. Bilbo found himself running round and round (as he thought) and calling and calling: “Dori, Nori,  Ori, Oin, Gloin, Lili, Kili, Bombur, Bifur, Bofur, Dwalin, Balin, Thorin Oakenshield,” while people he  could not see or feel were doing the same all round him (with an occasional “Bilbo!” thrown in). But  the cries of the others got steadily further and fainter, and though after a while it seemed to him they  changed to yells and cries for help in the far distance, all noise at last died right away, and he was left     alone in complete silence and darkness. That was one of his most miserable moments.",NEGATIVE,sadness,hobbit,Gloin,Balin
41,Balin! Oin! Gloin! Fili! Kili!” he cried as loud as he could — it seemed a thin little noise  in the wide blackness.,NEGATIVE,anger,hobbit,Gloin,Balin
42,"“Come, one of you, get another light or two!” Thorin ordered. “It seems we have  got to go and help our burglar.”   “It is about our turn to help,” said Balin, “and I am quite willing to go. Anyway I expect it is safe  for the moment.”   Gloin lit several more torches, and then they all crept out, one by one, and went along the wall as  hurriedly as they could. It was not long before they met Bilbo himself coming back towards them. His  wits had quickly returned as soon as he saw the twinkle of their lights.",POSITIVE,joy,hobbit,Gloin,Balin
43,"Fili and Kili had fallen defending him with shield  and body, for he was their mother’s elder brother. The others remained with Dain; for Dain dealt his  treasure well. There was, of course, no longer any question of dividing the hoard in such shares as had been  planned, to Balin and Dwalin, and Dori and Nori and Ori, and Oin and Gloin, and Bifur and Bofur and  Bombur — or to Bilbo. Yet a fourteenth share of all the silver and gold, wrought and unwrought, was  given up to Bard; for Dain said: “We will honour the agreement of the dead, and he has now the  Arkenstone in his keeping.”   Even a fourteenth share was wealth exceedingly great, greater than that of many mortal kings. From that treasure Bard sent much gold to the Master of Lake-town; and he rewarded his followers  and friends freely.",POSITIVE,joy,hobbit,Gloin,Balin
44,"“That will be quite as much as I can manage,” said he. At last the time came for him to say good-bye to his friends. “Farewell, Balin!” he said; “and  farewell, Dwalin; and farewell Dori, Nori, Ori, Oin, Gloin, Bifur, Bofur, and Bombur! May your  beards never grow thin!” And turning towards the Mountain he added: “Farewell Thorin Oakenshield! And Fili and Kili!",POSITIVE,joy,hobbit,Gloin,Balin
45,"Bilbo stood still and watched —  he loved smoke-rings — and then he blushed to think how proud he had been yesterday morning of the  smoke-rings he had sent up the wind over The Hill. “Now for some music!” said Thorin. “Bring out the instruments!”   Kili and Fili rushed for their bags and brought back little fiddles; Dori, Nori, and Ori brought out  flutes from somewhere inside their coats; Bombur produced a drum from the hall; Bifur and Bofur  went out too, and came back with clarinets that they had left among the walking-sticks. Dwalin and  Balin said: “Excuse me, I left mine in the porch!” “Just bring mine in with you!” said Thorin. They  came back with viols as big as themselves, and with Thorin’ s harp wrapped in a green cloth.",POSITIVE,joy,hobbit,Bifur,Nori
46,"As each dwarf came up and looked at the fire, and the spilled  jugs, and the gnawed mutton, in surprise, pop! went a nasty smelly sack over his head, and he was  down. Soon Dwalin lay by Balin, and Fili and Kili together, and Dori and Nori and Ori all in a heap,  and Oin and Gloin and Bifur and Bofur and Bombur piled uncomfortably near the fire. “That’ll teach ’em,” said Tom; for Bifur and Bombur had given a lot of trouble, and fought like  mad, as dwarves will when cornered. Thorin came last — and he was not caught unawares.",NEGATIVE,anger,hobbit,Bifur,Nori
47,"Fili and Kili  were at the top of a tall larch like an enormous Christmas tree. Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs. Gandalf, who was a good deal taller than the others, had found a tree into which they could  not climb, a large pine standing at the very edge of the glade.",NEGATIVE,fear,hobbit,Bifur,Nori
48,"“I shall,” said Thorin, “and you will come with me, and Fili and Balin. That’s as many as the boat  will hold at a time. After that Kili and Oin and Gloin and Dori; next Ori and Nori, Bifur and Bofur;  and last Dwalin and Bombur.”   “I’m always last and I don’t like it,” said Bombur. “It’s somebody else’s turn today.”   “You should not be so fat. As you are, you must be with the last and lightest boatload.",POSITIVE,joy,hobbit,Bifur,Nori
49,"The fires leaped up in black smokes. Ashes and cinders were in the eyes of the dwarves, and the wood was filled again with their clamour  and their cries. Bilbo found himself running round and round (as he thought) and calling and calling: “Dori, Nori,  Ori, Oin, Gloin, Lili, Kili, Bombur, Bifur, Bofur, Dwalin, Balin, Thorin Oakenshield,” while people he  could not see or feel were doing the same all round him (with an occasional “Bilbo!” thrown in). But  the cries of the others got steadily further and fainter, and though after a while it seemed to him they  changed to yells and cries for help in the far distance, all noise at last died right away, and he was left     alone in complete silence and darkness. That was one of his most miserable moments.",NEGATIVE,sadness,hobbit,Bifur,Nori
50,"None of  them were better off than Fili, and some of them were worse. Some had hardly been able to breathe at  all (long noses are sometimes useful you see) and some had been more poisoned. In this way they rescued Kili, Bifur, Bofur, Dori and Nori. Poor old Bombur was so exhausted — he  was the fattest and had been constantly pinched and poked — that he just rolled off the branch and fell  plop on to the ground, fortunately on to leaves, and lay there. But there were still five dwarves hanging  at the end of the branch when the spiders began to come back, more full of rage than ever.",NEGATIVE,sadness,hobbit,Bifur,Nori
51,"Fili and Kili had fallen defending him with shield  and body, for he was their mother’s elder brother. The others remained with Dain; for Dain dealt his  treasure well. There was, of course, no longer any question of dividing the hoard in such shares as had been  planned, to Balin and Dwalin, and Dori and Nori and Ori, and Oin and Gloin, and Bifur and Bofur and  Bombur — or to Bilbo. Yet a fourteenth share of all the silver and gold, wrought and unwrought, was  given up to Bard; for Dain said: “We will honour the agreement of the dead, and he has now the  Arkenstone in his keeping.”   Even a fourteenth share was wealth exceedingly great, greater than that of many mortal kings. From that treasure Bard sent much gold to the Master of Lake-town; and he rewarded his followers  and friends freely.",POSITIVE,joy,hobbit,Bifur,Nori
52,"“That will be quite as much as I can manage,” said he. At last the time came for him to say good-bye to his friends. “Farewell, Balin!” he said; “and  farewell, Dwalin; and farewell Dori, Nori, Ori, Oin, Gloin, Bifur, Bofur, and Bombur! May your  beards never grow thin!” And turning towards the Mountain he added: “Farewell Thorin Oakenshield! And Fili and Kili!",POSITIVE,joy,hobbit,Bifur,Nori
53,"So he stood and hesitated in the  shadows. Of the various burglarious proceedings he had heard of picking the trolls’ pockets seemed  the least difficult, so at last he crept behind a tree just behind William. Bert and Tom went off to the barrel. William was having another drink. Then Bilbo plucked up  courage and put his little hand in William’s enormous pocket.",NEGATIVE,anger,hobbit,Tom,William
54,"Trolls are slow in the uptake, and mighty suspicious about  anything new to them. “What’s a burrahobbit got to do with my pocket, anyways?” said William. “And can yer cook ’em?” said Tom. “Yer can try,” said Bert, picking up a skewer. “He wouldn’t make above a mouthful,” said William, who had already had a fine supper, “not  when he was skinned and boned.”   “P’raps there are more like him round about, and we might make a pie,” said Bert.",NEGATIVE,fear,hobbit,Tom,William
55,"Bilbo did his best. He caught hold of Tom’s leg — as well  as he could, it was thick as a young tree-trunk — but he was sent spinning up into the top of some  bushes, when Tom kicked the sparks up in Thorin’ s face. The Trolls   Tom got the branch in his teeth for that, and lost one of the front ones. It made him howl, I can tell     you. But just at that moment William came up behind and popped a sack right over Thorin’s head and  down to his toes.",NEGATIVE,anger,hobbit,Tom,William
56,"“No good boiling ’em! We ain’t got no water, and it’s a long way to the well and all,” said a voice. Bert and William thought it was Tom’s. “Shut up!” said they, “or we’ll never have done. And yer can fetch the water yerself, if yer say any  more.”   “Shut up yerself!” said Tom, who thought it was William’s voice.",NEGATIVE,anger,hobbit,Tom,William
57,"And yer can fetch the water yerself, if yer say any  more.”   “Shut up yerself!” said Tom, who thought it was William’s voice. “Who’s arguing but you, I’d like  to know.”   “You’re a booby,” said William. “Booby yerself!” said Tom. And so the argument began all over again, and went on hotter than ever, until at last they decided to  sit on the sacks one by one and squash them, and boil them next time. “Who shall we sit on first?” said the voice.",NEGATIVE,anger,hobbit,Tom,William
58,"“Then what did yer say it was grey for?” said Bert. “I never did. Tom said it.”   “That I never did!” said Tom. “It was you.”   “Two to one, so shut yer mouth!” said Bert. “Who are you a-talkin’ to?” said William.",NEGATIVE,anger,hobbit,Tom,William
