phrases,book,person_1,person_2
"'Not for show. Eh, Iola? It's exactly as if I were hearing  that hag Yennefer talk!'  'Ciri is getting more and more like her,' appraised Iola, sniffing ostentatiously. 'She even smells like her. Huh, no doubt some magical scent made of mandrake or ambergris.",Blood of Elves,Ciri,Iola
"Both in the kitchen and in the garden! Look at her little hands,  Iola! Like a princess!'  'That's the way it is!' squeaked Ciri. 'Some have brains, so they get a book! Others are feather-brained,  so they get a broom!'  'And you only use a broom for flying, don't you?",Blood of Elves,Ciri,Iola
"Pathetic wizard!'  'You're stupid!'  'Stupid yourself!'  'No, I'm not!'  'Yes, you are! Come on, Iola, don't pay any attention to her. Sorceresses are not our sort of company.'  'Of course they aren't!' yelled Ciri and threw the basket of grain on the ground. 'Chickens are your sort  of company!'     The novices turned up their noses and left, passing through the hoard of cackling fowl. Ciri cursed loudly, repeating a favourite saying of Vesemir's which she did not entirely understand.",Blood of Elves,Ciri,Iola
"The priestess grimaced with animosity. And Iola the First came up to me with a strange  expression of her face. 'Get yourself together, Ciri,' she said, 'and go the refectory, quick. Mother  Nenneke is summoning you. Someone has arrived.'  Strange, meaningful glances, excitement in their eyes.",Blood of Elves,Ciri,Iola
"I'm too young.'  'I was younger than you when I started.'  'But I'm sure you weren't ...'  'What do you mean, girl? Stop stuttering! At least one full sentence, please.'  'Because ...' Ciri lowered her head and blushed. 'Because Iola, Myrrha, Eurneid and Katye - when  we were having dinner - laughed at me and said that witchcraft doesn't have access to me and that I'm  not going to perform any magic because ... Because I'm ...",Blood of Elves,Ciri,Iola
"Yennefer was firm, frequently  stern, sometimes masterfully formidable. But she was never boring. Previously, Ciri could barely keep  her eyes open in the Temple school and would  sometimes even doze off during a lesson, lulled by the monotonous, gentle voice of Nenneke, Iola the  First, Hrosvitha or some other teacher. With Yennefer, it was impossible. And not only because of the  timbre of the lady magician's voice and the short, sharply accentuated sentences she used.",Blood of Elves,Ciri,Iola
"Sing to us of what happened next!'  'Songs and ballads' the musician bowed - 'never end, dear lady, because poetry is eternal and immortal,  it knows no beginning, it knows no end-'  'But what happened next?' The tradeswoman didn't give up, generously rattling coins into the bucket  Dandelion's apprentice held out to her. 'At least tell us about it, even if you have no wish to sing of it. Your songs mention no names, but we know the Geralt you sing of is no other than the famous Geralt of  Rivia, and the enchantress for whom he burns with love is the equally famous Yennefer. And the Child  Surprise, destined for the Geralt and sworn to him from birth, is Ciri, the unfortunate Princess of  Cintra, the town destroyed by the Invaders. Am I right?'  Dandelion smiled, remaining enigmatic and aloof.",Blood of Elves,Geralt,Yennefer
"'Sing on, Master  Dandelion! What happened next? Did the Geralt and Yennefer the Enchantress find each other in the  end? And did they love each other? Were they happy?",Blood of Elves,Geralt,Yennefer
"This is no legend or fairy-tale. It is the truth,  the sincere truth, which Master Dandelion sang for us.'  'I second that,' said a slender female warrior with her black hair smoothly brushed back and plaited into a  thick braid. 'I, Rayla of Lyria, also know Geralt the White Wolf, the famous slayer of monsters. And I've  met the enchantress, Lady Yennefer, on several occasions -I used to visit Aedirn and her home town of  Vengerberg. I don't know anything about their being in love, though.'  'But it has to be true,' the attractive elf in the ermine toque   You did not see that these ballads speak of man's fate, that we are no more than toys in the hands of the  gods, our lands no more than their playground.",Blood of Elves,Geralt,Yennefer
"This is no legend or fairy-tale. It is the truth,  the sincere truth, which Master Dandelion sang for us.'  'I second that,' said a slender female warrior with her black hair smoothly brushed back and plaited into a  thick braid. 'I, Rayla of Lyria, also know Geralt the White Wolf, the famous slayer of monsters. And I've  met the enchantress, Lady Yennefer, on several occasions -I used to visit Aedirn and her home town of  Vengerberg. I don't know anything about their being in love, though.'  'But it has to be true,' the attractive elf in the ermine toque    many a time and the king and queen lived in a childless home, with no daughter, no son-'  'Liar!' shouted a red-haired man in a sealskin jacket, a checked kerchief bound around his forehead.",Blood of Elves,Geralt,Yennefer
"'... or perhaps you listened to someone's confidences and grievances?'  'Hmm ...' Dandelion cleared his throat and veered away from the dangerous subject. 'Tell me, Yennefer,  when did you last see Geralt?'  'A long time ago.'  'After the war?'  After the war ...' Yennefer's voice changed a little. 'No, I never saw him after the war. For a long time  ...",Blood of Elves,Geralt,Yennefer
"'But thank you for the  information. It was valuable.'  'Let it be,' he replied with a smile, 'my contribution to making changes for the better. Tell me, Yennefer,  why is Nilfgaard so interested in Geralt and the girl from Cintra?'  'Don't stick your nose into that business.' She suddenly turned serious. 'I said you were to forget you ever  heard of Calanthe's granddaughter.'  'Indeed, you did. But I'm not searching for a subject for a ballad.'  'What the hell are you searching for then?",Blood of Elves,Geralt,Yennefer
"Rience tried to force it out of me with  torture. But you know, Yennefer. You know where the Geralt is hiding.'  'I do.'  'And you know how to get there.'  'I know that too.'  'Don't you think he should be warned? Warned that the likes of Rience are looking for him and the little  girl? I would go, but I honestly don't know where it is ...",Blood of Elves,Geralt,Yennefer
"That was followed by a short-lived and entertaining fascination with the same sex, which  ended in the conclusion that soiling towels, passing wind and greediness were by no means exclusively  male attributes. Finally, like all but a few magicians, Triss moved to affairs with other wizards, which  proved sporadic and frustrating in their cold, technical and almost ritual course. Then Geralt of Rivia appeared. A Geralt leading a stormy life, and tied to her good friend Yennefer in a  strange, turbulent and almost violent relationship. Triss had watched them both and was jealous even though it seemed there was little to be jealous of.",Blood of Elves,Geralt,Yennefer
"It had fascinated  her to such an extent that ... ... she had seduced the Geralt - with the help of a little magic. She had hit on a propitious moment, a  moment when he and Yennefer had scratched at each other's eyes yet again and had abruptly parted. Geralt had needed warmth, and had wanted to forget.",Blood of Elves,Geralt,Yennefer
"No, Triss had not desired to take him away from Yennefer. As a matter of fact, her friend was more  important to her than he was. But her brief relationship with the Geralt had not disappointed. She had  found what she was looking for - emotions in the form of guilt, anxiety and pain. His pain.",Blood of Elves,Geralt,Yennefer
"The wind howled, banged the shutter and swelled the tapestry. Triss rolled on to her back and, lost in  thought, started to bite her thumb nail. Geralt had not invited Yennefer. He had invited her. Does that mean ...",Blood of Elves,Geralt,Yennefer
"And you  are risking Ciri's health and life in the process. Another trance is liable to be more dangerous to her than  the Trial of Grasses. Ask Yennefer for help, Geralt.'  'And you, Triss?'  'What about me?' She swallowed with difficulty. 'I'm not important. I let you down.",Blood of Elves,Geralt,Yennefer
"The thing that wants to possess her might not be  able to reach her in the temple. And then you will ask Yennefer for help.'  'All right, Triss. Thank you.'  'Geralt?'  'Yes.'  'Ciri said something else, didn't she? Something only you heard. Tell me what it was.'  'No,' he protested and his voice quivered.",Blood of Elves,Geralt,Yennefer
"There was a moment when out of sheer terror I forgot all my spells except for  one - and thanks to that spell I could have teleported myself from that horrific place back home, to my  tiny little tower in Maribor. There was a moment, when I threw up from fear, when Yennefer and Coral  held me up by the shoulders and hair-'  'Stop. Please, stop.'  'No, Geralt. I won't. After all, you want to know what happened there, on the Hill.",Blood of Elves,Geralt,Yennefer
"Of those who had known me well, Yennefer  was the only one to survive, and Yennefer was blind. Others knew me fleetingly and always recognised  me by my beautiful hair. And I, damn it, didn't have it any more!'  Geralt held her closer. She no longer tried to push him away. 'They used the highest magics on us,' she continued in a muted voice, 'spells, elixirs, amulets and  artefacts.",Blood of Elves,Geralt,Yennefer
"This one concerned a hunt for a golden dragon who instead of allowing itself to be  hunted down had counted the hunters' bones and then eaten  a cobbler called Goatmuncher. Ciri began to listen with greater interest. Geralt asked about what had happened to the Slashers but Yarpen didn't know. Yarpen, in turn, was  curious about a woman called Yennefer, at which Geralt grew oddly uncommunicative. The dwarf drank  more beer and started to complain that Yennefer still bore him a grudge although a good few years had  gone by since those days.",Blood of Elves,Geralt,Yennefer
Your letters  invariably give me boundless pleasure. Your friend Yennefer  The letter smelled of lilac and gooseberries. Geralt cursed. He was torn from his reverie by the movement on deck and a rocking of the barge that indicated they  were changing course. Some of the passengers crowded starboard.,Blood of Elves,Geralt,Yennefer
A black burgee dotted with silver  lilies fluttered lazily from its mast. The crew consisted of several men wearing the pointed hats of  Temerian Guards. Geralt quickly reached into his bag and pulled out both letters -the one from Ciri and the one from  Yennefer. He swiftly tore them into tiny shreds and threw them into the river. The customs officer  watched him in silence.,Blood of Elves,Geralt,Yennefer
"Eh, Dandelion? What do you  know about the girl? Where has the Geralt hidden her? Where did Yennefer go when she received  Geralt's letter? Where is Triss Merigold hiding, and why is she hiding?'  Dijkstra did not stir, but his swift glance at the magician showed Dandelion that the spy was taken aback.",Blood of Elves,Geralt,Yennefer
"Tretogor? Dijkstra?'  'You've guessed.'  'That's still no reason-'  'It's reason enough,' interrupted Dandelion. 'They're not concerned about Rience any more, Geralt. They're after the girl and Yennefer. Dijkstra wants to know where they are.",Blood of Elves,Geralt,Yennefer
"You're studying medicine, are you, Shani? What year?'  'Third,' grunted the girl. 'Ah,' Philippa Eilhart was looking not at her but at the Geralt, 'seventeen, what a beautiful age. Yennefer  would give a lot to be that age again. What do you reckon, Geralt?",Blood of Elves,Geralt,Yennefer
"And guard that child, damn it! Guard that girl as though she's the apple of  your eye! And if you can't do so yourself, ask others to!'  For a moment Dandelion thought the Geralt was going to mention the role undertaken by Yennefer. He    would not be risking anything, and would flatten Philippa's arguments. But Geralt said nothing.",Blood of Elves,Geralt,Yennefer
"I'll fall asleep, she thought, carefully and delicately feeling her nose which was still tender, painful and  blocked with clotted blood. I'll go back to my dream. I'll see what Geralt is doing there, in the night, in  the rain, by the canal ... Yennefer was holding her by the hand. They were both walking  down a long, dark corridor, between stone columns or, perhaps, statues.",Blood of Elves,Geralt,Yennefer
"At one time she was closely tied to ... a certain Geralt. Geralt, if I'm not mistaken. It seems it wasn't just an ordinary passing affair. It appeared Yennefer was  quite strongly involved ...'  Tissaia de Vries sat up straight and gripped the armrests of her chair.",Blood of Elves,Geralt,Yennefer
"But  I'm not being guided by unhealthy curiosity but concern about the emotional state of a member of the  Council. I am wondering about Yennefer's reaction to the news of ... of Geralt's death. I presume she  would get over it, come to terms with it, without falling into a depression or exaggerated mourning?'  'No doubt, she would,' said Tissaia coldly. 'Especially as such news has been reaching her every now  and again - and always proving to be a rumour.'  'That's right,' confirmed Terranova.",Blood of Elves,Geralt,Yennefer
"'You've already received a present from Yennefer,' he uttered in a hoarse voice. 'Now you're getting one    from me.'  He struck once more. The sorcerer's head bounced up; blood spurted onto the Geralt's forehead and  cheeks. Geralt was slightly surprised - he had not felt any pain but had, no doubt, been injured in the  fight. It was his blood.",Blood of Elves,Geralt,Yennefer
"Choose, as  your Yennefer had to. Because Yennefer has already  chosen. Your destiny is in her hands, Geralt. You placed it in those hands yourself.'  The Geralt staggered. Shani yelled and tore herself away from Dandelion.",Blood of Elves,Geralt,Yennefer
"Choose, as  your Yennefer had to. Because Yennefer has already  chosen. Your destiny is in her hands, Geralt. You placed it in those hands yourself.'  The Geralt staggered. Shani yelled and tore herself away from Dandelion.",Blood of Elves,Geralt,Yennefer
"'Don't you even dare,' said Yennefer, without turning around. 'I thought ...' She cleared her throat. 'I thought one of them might be from Geralt ...'  'If it was, I'd have given it to you.' The magician turned in her chair and sat facing her. 'Are you going to  be long washing?'  'I've finished.'  'Get up, please.'  Ciri obeyed. Yennefer smiled faintly.",Blood of Elves,Geralt,Yennefer
"I don't want to be frightened. I don't want to lose everything again, like that time. I don't want to  lose Geralt ... or you, Lady Yennefer. I don't want to lose you.",Blood of Elves,Geralt,Yennefer
"I'm never going to be a magician nor  want to be one! I'm destined for Geralt ... I'm destined to be a Geralt! I've only come here for a short  period! I'm going back to Kaer Morhen soon ...'  'You are persistently staring at my neckline,' said Yennefer icily, narrowing her violet eyes a little.",Blood of Elves,Geralt,Yennefer
"And I will answer. Sincerely.'  'Any question?'  'Any question.'  'As of now?'  'Yes. As of now.'  'What is there between you and Geralt, Lady Yennefer?'  Ciri almost fainted, horrified at her own impertinence, chilled by the silence which followed the question. The enchantress slowly approached her, placed her hands on her shoulders, looked her in the eyes from  up close - and deeply. 'Longing,' she answered gravely.",Blood of Elves,Geralt,Yennefer
"About how she learned about the Law of Surprise and that fate had decreed her to be the  destiny of Geralt of Rivia, the white-haired Geralt. She recalled the war, her exile in the forests of  Transriver, her time among the druids of Angren and the time spent in the country. How Geralt had found  her there and taken her to Kaer Morhen, the Geralts' Keep, thus opening a new chapter in her short  life. One evening, of her own initiative, unasked, casually, joyfully and embellishing a great deal, she told the  enchantress about her first meeting with the Geralt in Brokilon Forest, amongst the dryads who had  abducted her and wanted to force her to stay and become one of them. 'Oh!' said Yennefer on listening to the story, 'I'd give a lot to see that - Geralt, I mean.",Blood of Elves,Geralt,Yennefer
"The one before ... Because the following summer there was the war already ...'  'Aha. That means the dreams started after you met Geralt in Brokilon?'  She nodded. I'm not going to answer the next question, she decided. But Yennefer did not ask anything.",Blood of Elves,Geralt,Yennefer
"There's a whole chapter on the subject.'  Silence. 'Lady Yennefer ...'  'Oh, hell. What is it now?'  'It's been so long, why isn't Geralt ... Why isn't he coming?'  'He's forgotten about you, no doubt, ugly one. He's found himself a prettier girl.'  'Oh, no!",Blood of Elves,Geralt,Yennefer
"Well, I made up this ballad. I don't know any more, I swear!'  Rience scowled at him. 'And where is this Geralt now?' he asked. 'This hired monster murderer, this poetic butcher who likes to  discuss destiny?'  'I told you, the last time I saw him-'    'I know what you said,' Rience interrupted. 'I listened carefully to what you said.",Blood of Elves,Geralt,Rience
"But I warrant you know what it is.'  1 )andilion clenched his teeth with anger and despair. 'Well?' Rience made a sign to the reeking man. 'Where is the Geralt hiding? What is the place called?'  The poet remained silent. The rope tightened, twisting his hands painfully, and his feet left the ground.",Blood of Elves,Geralt,Rience
"Rience tried to force it out of me with  torture. But you know, Yennefer. You know where the Geralt is hiding.'  'I do.'  'And you know how to get there.'  'I know that too.'  'Don't you think he should be warned? Warned that the likes of Rience are looking for him and the little  girl? I would go, but I honestly don't know where it is ...",Blood of Elves,Geralt,Rience
"Rience,  or something like that. He's got a red mark on his left cheek as if from a burn. Do you know anyone like  that?'  Geralt got up. 'Boatbug,' he said. 'I'm disembarking in Acorn Bay.'  'How's that?",Blood of Elves,Geralt,Rience
"I've seen people wander to  the scaffolds over lesser trivialities. Why didn't you inform me about your ambush, Dandelion? Did I not  instruct you to keep me informed about all the Geralt's intentions?'  'I didn't know anything about Geralt's plans,' Dandelion lied with conviction. 'I told you that he went to  Temeria and Sodden to hunt down this Rience. I also told you that he had returned.",Blood of Elves,Geralt,Rience
"I also told you that he had returned. I was convinced he  had given up. Rience had literally dissolved into thin air, the Geralt didn't find the slightest trail, and this if  you remember - I also told you-'  'You lied,' stated the spy coldly. 'The Geralt did find Rience's trail. In the form of corpses.",Blood of Elves,Geralt,Rience
"His toga resembled a  professor's but did not look as if it had been presented by a senate. It looked more as if it had been  found on a rubbish heap. 'Your Geralt, however,' suddenly snarled the spy, 'underestimated Master Rience. He set a trap but demonstrating  a complete lack of common sense - banked on Rience troubling himself to come in  person. Rience, according to the Geralt's plan, was to feel safe.",Blood of Elves,Geralt,Rience
"Rience, according to the Geralt's plan, was to feel safe. Rience wasn't to smell a trap anywhere,  wasn't to spy Master Dijkstra's subordinates lying in wait for him. Because, on the Geralt's instructions,  Master Dandelion had not squealed to Master Dijkstra about the planned ambush. But according to the  instructions received, Master Dandelion was duty bound to do so. Master Dandelion had clear, explicit  instructions in this matter which he deigned to ignore.'  'I am not one of your subordinates.' The poet puffed up with pride.",Blood of Elves,Geralt,Rience
Rience has been  warned and won't be duped a second time. But I can't let anything like this happen in the future. That's  why I want to see the Geralt. Bring him to me. Stop wandering around town trying to lose my agents.,Blood of Elves,Geralt,Rience
"They weren't Rience's  men.'  'That's not news to me,' said the poet casually. 'I'm sure they were a few scoundrels of the likes of which  there is no shortage in the Temerian Guards. Rience has been asking about the Geralt and no doubt  offering a nice sum for any news about him. It's obvious that the Geralt is very important to him. So a  few crafty dogs tried to grab Geralt, bury him in some cave and then sell him to Rience, dictating their  conditions and trying to bargain as much out of him as possible.",Blood of Elves,Geralt,Rience
"So a  few crafty dogs tried to grab Geralt, bury him in some cave and then sell him to Rience, dictating their  conditions and trying to bargain as much out of him as possible. Because they would have got very little,  if anything at all, for mere information.'  'My congratulations on such perspicacity. The Geralt's, of course, not yours - it would never have  occurred to you. But the matter is more complex than you think. My colleagues, men belonging to King  Foltest's secret service, are also, as it turns out, interested in Master Rience.",Blood of Elves,Geralt,Rience
